,NAME,LATITUDE,LONGITUDE,hov_txt,CLOTHING,FOOD,HOUSEHOLD GOODS,HOUSING,TRAINING AND OTHER SERVICES,NOTES,WEBSITE,type,color
16,Allegheny Commons Community Gardens,40.450938,-80.0021118,"300 Stockton Ave, Pittsburgh",,1,,,,,https://www.ioby.org/project/allegheny-commons-community-garden,TRAINING AND OTHER SERVICES,#ff00ff
17,Allegheny County Assistance Office,40.4409134,-79.9995878,"301 Fifth Ave #470, Pittsburgh",,1,,,,,http://www.alleghenycounty.us/,TRAINING AND OTHER SERVICES,#ff00ff
18,Allegheny County Assistance Office - Greater Pittsburgh East,40.4618572,-79.9252604,"5947 Penn Ave, Pittsburgh",,1,,,,,http://www.dhs.pa.gov/,TRAINING AND OTHER SERVICES,#ff00ff
19,Allegheny County Assistance Office - Institution Related Eligibility,40.4409137,-79.9995899,"301 Fifth Ave, Pittsburgh",,1,,,,,http://www.dhs.pa.gov/,TRAINING AND OTHER SERVICES,#ff00ff
20,Allegheny County Assistance Office - Three Rivers District,40.4397934,-79.9997585,"342 Fifth Ave, Pittsburgh",,1,,,,,http://www.dhs.pa.gov/,TRAINING AND OTHER SERVICES,#ff00ff
21,Allegheny County Assistance Office Liberty District,40.4401692,-79.9994709,"332 Fifth Ave #300, Pittsburgh",,1,,,,,http://www.dhs.pa.gov/,TRAINING AND OTHER SERVICES,#ff00ff
22,Allegheny County CYF Administrative Offices,40.4371058,-80.0010221,"1 Smithfield St #400, Pittsburgh",,,,1,,,"http://alleghenycounty.us/Human-Services/About/Offices/Children,-Youth-and-Families.aspx",TRAINING AND OTHER SERVICES,#ff00ff
23,"Allegheny County Children, Youth and Families: Central Regional Office",40.4379006,-79.9863704,"1401 Forbes Ave, Pittsburgh",,,,1,,,http://alleghenycounty.us/Human-Services/Programs-Services/Children-Families/Child-Protection.aspx,TRAINING AND OTHER SERVICES,#ff00ff
24,"Allegheny County Children, Youth and Families: South Regional Office",40.430031,-79.975396,"2100 Wharton St #100, Pittsburgh",,,,1,,,http://alleghenycounty.us/Human-Services/Programs-Services/Children-Families/Child-Protection.aspx,TRAINING AND OTHER SERVICES,#ff00ff
25,Allegheny County Human Services,40.4371183,-80.0010428,"1 Smithfield St, Pittsburgh",,1,,,,,http://www.alleghenycounty.us/human-services,TRAINING AND OTHER SERVICES,#ff00ff
26,Allegheny County Human Services,40.4389085,-80.001236,"304 Wood St, Pittsburgh",,1,,,,,https://www.alleghenycounty.us/human-services/index.aspx,TRAINING AND OTHER SERVICES,#ff00ff
27,Allegheny County Library Association,40.4528445,-80.0293854,"1301 Beaver Ave # 101, Pittsburgh",,,,,1,,http://www.aclalibraries.org/,TRAINING AND OTHER SERVICES,#ff00ff
28,Allegiance Staffing,40.4204403,-80.0467348,"950 Greentree Rd #302, Pittsburgh",,,,,1,,http://www.allegiancestaffing.com/,TRAINING AND OTHER SERVICES,#ff00ff
29,Allendale Acres Community Garden,40.4554151,-80.0607557,Pittsburgh,,1,,,,,http://pittsburghurbangardens.com/allendale-acres-community-garden,TRAINING AND OTHER SERVICES,#ff00ff
30,Allure,40.4614559,-79.9489423,"4730 Liberty Ave, Pittsburgh",1,,,,,,http://www.allure4me.com/,TRAINING AND OTHER SERVICES,#ff00ff
31,Amvets,40.4435484,-79.9944514,"1000 Liberty Ave #1605, Pittsburgh",1,,,,,,http://amvets.org/,TRAINING AND OTHER SERVICES,#ff00ff
32,Amvets,40.429784,-80.0537772,"2226 Noblestown Rd, Pittsburgh",1,,,,,,https://amvets.org/,TRAINING AND OTHER SERVICES,#ff00ff
33,Anderson Shelter,40.4354818,-79.947908,Pittsburgh,,,,1,,,http://www.pittsburghparks.org/schenley,TRAINING AND OTHER SERVICES,#ff00ff
34,Animal Advocates Inc,40.440583,-80.034447,"35 Wabash St, Pittsburgh",,,,1,,,http://animaladvocates.net/,TRAINING AND OTHER SERVICES,#ff00ff
35,Animal Friends,40.5218665,-80.0796451,"562 Camp Horne Rd, Pittsburgh",,,,1,,,http://www.thinkingoutsidethecage.org/,TRAINING AND OTHER SERVICES,#ff00ff
36,Animal Full Life Rescue,40.4369019,-79.8837069,"906 Ramsey St, Pittsburgh",,,,1,,,https://www.aflr.org/contact-us,TRAINING AND OTHER SERVICES,#ff00ff
37,Ann's Market,40.44836,-79.975263,"2316 Webster Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
38,AppleOne Employment Services,40.4287384,-80.1236532,"2 Penn Center Blvd #210, Pittsburgh",,,,,1,,http://www.appleone.com/,TRAINING AND OTHER SERVICES,#ff00ff
39,Arbor Career Center,40.4414408,-79.9966739,"425 Sixth Ave #2000, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
40,Atrium,40.4424717,-80.0007998,"625 Liberty Ave #200, Pittsburgh",,,,,1,,https://www.atriumstaff.com/?utm_source=GMB&utm_medium=organic&utm_campaign=PITT_listing,TRAINING AND OTHER SERVICES,#ff00ff
41,Auberle 412 Youth Zone,40.4389815,-80.0014103,"304 Wood St, Pittsburgh",,,,1,,,https://www.auberle.org/the-412-youth-zone,TRAINING AND OTHER SERVICES,#ff00ff
42,Avalon Exchange,40.4379023,-79.9215565,"5834 Forbes Ave, Pittsburgh",1,,,,,,http://www.avalonexchange.com/,TRAINING AND OTHER SERVICES,#ff00ff
43,BGC Activity Center,40.465224,-79.940089,"113 N Pacific Ave, Pittsburgh",,,,,1,,https://bloomfield-garfield.org/other-projects/activity-center/,TRAINING AND OTHER SERVICES,#ff00ff
44,Ballfield Farm,40.4690014,-80.0165495,"Crispen St, Pittsburgh",,1,,,,,http://www.ballfieldfarm.com/,TRAINING AND OTHER SERVICES,#ff00ff
45,Bandi Schaum Community Garden,40.4227835,-79.975396,Pittsburgh,,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
46,Bartlett Shelter,40.4334705,-79.9359172,"Bartlett St, Pittsburgh",,,,1,,,,TRAINING AND OTHER SERVICES,#ff00ff
47,Bay Foods distribution center,40.4420518,-80.0213624,"1600 W Carson St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
48,Bedford Market Center Inc,40.4462414,-79.9756609,"2228 Wylie Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
49,Beltzhoover Community Center 407,40.4181161,-80.0051192,"407 Gearing Ave, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
50,Bethlehem Haven,40.4384625,-79.9914906,"905 Watson St, Pittsburgh",,,,1,,,https://www.bethlehemhaven.org/,TRAINING AND OTHER SERVICES,#ff00ff
51,Bethlehem Haven,40.43849,-79.985955,"1410 Fifth Ave, Pittsburgh",,,,1,,,https://bethlehemhaven.org/,TRAINING AND OTHER SERVICES,#ff00ff
52,Bethlehem Haven Medical Respite,40.4386459,-79.9914316,"905 Watson St, Pittsburgh",,,,1,,,https://bethlehemhaven.org/housing-programs/,TRAINING AND OTHER SERVICES,#ff00ff
53,Bidwell Training Center,40.4570992,-80.0319344,"1815 Metropolitan St, Pittsburgh",,,,,1,,https://www.bidwelltraining.edu/,TRAINING AND OTHER SERVICES,#ff00ff
54,Blackridge Civic Association,40.449104,-79.847093,"1200 Beulah Rd, Pittsburgh",,,,,1,,http://www.blackridge-bca.org/,TRAINING AND OTHER SERVICES,#ff00ff
